3.7441,15.0169,15.1525
4.2179,16.9169,12.8511
4.4245,17.7455,11.6036
4.4245,17.7455,11.6036
4.3861,17.5915,11.7894
4.0070,16.0712,13.3292
3.9151,15.7027,13.6367
3.9151,15.7027,13.6367
3.9151,15.7027,13.6367
1.9723,16.0628,13.6367
0.8470,16.1612,13.6367
-1.1289,16.1440,13.6367
-0.5648,16.1735,13.6367
1.4105,16.1218,13.6367
-0.5302,15.1835,14.7324
-2.8494,14.6589,14.9953
-3.4839,13.9731,15.5073
-3.2395,14.0318,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-2.5007,14.1821,15.5073
-4.4501,13.6961,15.5073
-2.9941,14.0862,15.5073
-2.9941,14.0862,15.5073
-2.9941,14.0862,15.5073
-2.9941,14.0862,15.5073
